venue,window,simplex,simplex_key,dimension,weight_semantics,weight,mean_face_weight,mean_coface_weight,reinforcement,boundary_strain,coface_dependence,terminality,tension,curvature_balance,endpoint_mean_strength,endpoint_mean_degree,triangle_participation,common_neighbor_count,edge_betweenness,anisotropy,volume_growth_r1,volume_growth_r2,core_region_size,core_region_cohesion,core_region_conductance,core_region_multiscale_consistency
SDM,2022-2024,Xiaowei Jia-Yanhua Li,Xiaowei Jia;Yanhua Li,1,contained-support,1.0,5.0,1.0,0.19999999996,0.9999999989999999,1.9999999979999998,0.49999999975,-4.0,-1.6094379116341002,5.0,16.0,2.0,2.0,186.66666666666669,0.19999999996,3.9999999996923075,3.019230769172707,5.0,0.30232558138831805,3.3076923074378697,0.7615837197694421
SDM,2022-2024,Ankush Khandelwal-Xiaowei Jia,Ankush Khandelwal;Xiaowei Jia,1,contained-support,1.0,4.0,1.0,0.2499999999375,0.9999999989999999,3.9999999959999997,0.2499999999375,-3.0,-1.3862943603698905,4.0,13.5,4.0,4.0,44.99999999999998,0.499999999875,3.538461538189349,2.956521739066163,7.0,0.31707317072397384,3.1538461536035505,0.7396204069206457
SDM,2022-2024,Carl Yang 0001-Liang Zhao 0002,Carl Yang 0001;Liang Zhao 0002,1,contained-support,1.0,4.0,1.0,0.2499999999375,0.9999999989999999,1.9999999979999998,0.49999999975,-3.0,-1.3862943603698905,4.0,12.5,2.0,2.0,100.0,0.2499999999375,3.2727272724297523,2.5833333332615744,5.0,0.37931034481450654,2.636363636123967,0.7215410331825957
SDM,2022-2024,Lichen Wang-Sheng Li 0001,Lichen Wang;Sheng Li 0001,1,contained-support,1.0,4.0,1.0,0.2499999999375,0.9999999989999999,3.9999999959999997,0.2499999999375,-3.0,-1.3862943603698905,4.0,9.5,4.0,4.0,12.5,0.499999999875,2.6923076921005915,2.199999999937143,7.0,0.4333333333188889,2.307692307514793,0.7163267800881505
SDM,2022-2024,Xiaowei Jia-Zhe Jiang 0001,Xiaowei Jia;Zhe Jiang 0001,1,contained-support,1.0,4.0,1.0,0.2499999999375,0.9999999989999999,3.9999999959999997,0.2499999999375,-3.0,-1.3862943603698905,4.0,13.5,4.0,4.0,60.0,0.499999999875,3.4615384612721893,2.9333333332681484,7.0,0.324999999991875,3.0769230766863904,0.777738470207081
SDM,2022-2024,Yanhua Li-Yiqun Xie,Yanhua Li;Yiqun Xie,1,contained-support,1.0,4.0,1.0,0.2499999999375,0.9999999989999999,1.9999999979999998,0.49999999975,-3.0,-1.3862943603698905,4.0,12.0,2.0,2.0,56.66666666666667,0.0,3.636363636033058,2.8249999999293753,5.0,0.33333333332323234,2.999999999727273,0.8328821024114689
SDM,2022-2024,Can Zheng-Xiaowei Jia,Can Zheng;Xiaowei Jia,1,contained-support,1.0,3.5,1.0,0.28571428563265305,0.9999999989999999,3.9999999959999997,0.2499999999375,-2.5,-1.2527629677810823,3.5,12.5,4.0,4.0,20.00000000000001,0.7142857140816327,3.4999999997083333,3.0238095237375284,7.0,0.3157894736759003,3.1666666664027776,0.8204432959017898
SDM,2022-2024,Dajun Zhang 0001-Xiaowei Jia,Dajun Zhang 0001;Xiaowei Jia,1,contained-support,1.0,3.5,1.0,0.28571428563265305,0.9999999989999999,3.9999999959999997,0.2499999999375,-2.5,-1.2527629677810823,3.5,12.5,4.0,4.0,23.0,0.7142857140816327,3.4999999997083333,3.0238095237375284,7.0,0.3157894736759003,3.1666666664027776,0.7744030657490606
SDM,2022-2024,David J. Mulla-Xiaowei Jia,David J. Mulla;Xiaowei Jia,1,contained-support,1.0,3.5,1.0,0.28571428563265305,0.9999999989999999,3.9999999959999997,0.2499999999375,-2.5,-1.2527629677810823,3.5,12.5,4.0,4.0,25.0,0.7142857140816327,3.4999999997083333,3.0238095237375284,7.0,0.3157894736759003,3.1666666664027776,0.7648610810201686
SDM,2022-2024,Dongliang Guo 0002-Sheng Li 0001,Dongliang Guo 0002;Sheng Li 0001,1,contained-support,1.0,3.5,1.0,0.28571428563265305,0.9999999989999999,0.9999999989999999,0.9999999989999999,-2.5,-1.2527629677810823,3.5,7.5,1.0,1.0,10.0,0.7142857140816327,2.888888888567901,2.461538461443787,4.0,0.47368421050138504,2.1111111108765432,0.8111317885369953
