key,year,venue,pub_type,title,authors
conf/isdmci/BezsmertnyiPSID20,2020,ISDMCI,inproceedings,Information Technology for Processing the Parameters of the Rolling Spectra at Various Positions of the Human Body.,Yurii Bezsmertnyi|Sergii Pavlov|Victor Shevchuk|Stanislav Iaremyn|Viktoria Dumenko
conf/isdmci/ZosimovBP20,2020,ISDMCI,inproceedings,Complex Internet Data Management System.,Viacheslav V. Zosimov|Oleksandra S. Bulgakova|Valeriy Pozdeev
conf/isdmci/ManziukBKPJR24,2024,ISDMCI (1),inproceedings,Explainable Deep Learning for Interpretable Brain Tumor Diagnosis from MRI Images.,Eduard Manziuk|Olexander Barmak|Iurii Krak|Nataliia Petliak|Zhenzhen Jin|Pavlo Radiuk
conf/isdmci/RakytyanskaD19,2019,ISDMCI,inproceedings,Football Predictions Based on Time Series with Granular Event Segmentation.,Hanna Rakytyanska|Mykola Demchuk
conf/isdmci/KirichenkoZR20,2020,ISDMCI,inproceedings,Classification of Time Realizations Using Machine Learning Recognition of Recurrence Plots.,Lyudmyla Kirichenko|Petro Zinchenko|Tamara Radivilova
conf/isdmci/VynokurovaPPKS24,2024,ISDMCI (2),inproceedings,Audio Deep Watermarking and Algebraic Transform.,Olena Vynokurova|Dmytro Peleshko|Marta Peleshko|Maksym Kapys|Serhii Shatilo
conf/isdmci/PopereshnyakY20,2020,ISDMCI,inproceedings,Car Parking Data Processing Technique for Smart Parking System as Part of Smart City.,Svitlana Popereshnyak|Iryna Yurchuk
conf/isdmci/BerezskyPLDB22,2022,ISDMCI,inproceedings,Computational Intelligence in Medicine.,Oleh Berezsky|Oleh Pitsun|Petro Liashchynskyi|Bohdan Derysh|Natalia Batryn
conf/isdmci/KolomiietsK20,2020,ISDMCI,inproceedings,Integral Criterion of Environmental Safety as an Indicator of the Effectiveness of a Motor Transport Enterprise Management.,Serhii Kolomiiets|Anna Kolomiiets
conf/isdmci/BabichevKDS20,2020,ISDMCI,inproceedings,Technique of Gene Expression Profiles Selection Based on SOTA Clustering Algorithm Using Statistical Criteria and Shannon Entropy.,Sergii Babichev|Orest Khamula|Bohdan Durnyak|Jir
conf/isdmci/BurakKZRD24,2024,ISDMCI (2),inproceedings,Determination of Fire Evacuation Parameters in Higher Education Institutions with Inclusive Groups Using Machine Learning Methods.,Nazarii Burak|Oleksandr Khlevnoi|Nataliia Zhezlo-Khlevna|Diana Raita|Oleksandr Dotsenko
