key,year,venue,pub_type,title,authors
conf/wsdm/WuBG0LY23,2023,WSDM,inproceedings,Modeling Fine-grained Information via Knowledge-aware Hierarchical Graph for Zero-shot Entity Retrieval.,Taiqiang Wu|Xingyu Bai|Weigang Guo|Weijie Liu 0002|Siheng Li|Yujiu Yang 0001
conf/wsdm/WhiteA19,2019,WSDM,inproceedings,Task Duration Estimation.,Ryen W. White|Ahmed Hassan Awadallah
conf/wsdm/LiWLY23,2023,WSDM,inproceedings,Self-Supervised Group Graph Collaborative Filtering for Group Recommendation.,Kang Li|Chang-Dong Wang 0001|Jian-Huang Lai|Huaqiang Yuan
conf/wsdm/BudylinDKT18,2018,WSDM,inproceedings,Consistent Transformation of Ratio Metrics for Efficient Online Controlled Experiments.,Roman Budylin|Alexey Drutsa|Ilya Katsev|Valeriya Tsoy
conf/wsdm/VirinchiS23,2023,WSDM,inproceedings,BLADE: Biased Neighborhood Sampling based Graph Neural Network for Directed Graphs.,Srinivas Virinchi|Anoop Saladi
conf/wsdm/KimJ021,2021,WSDM,inproceedings,Discovering Undisclosed Paid Partnership on Social Media via Aspect-Attentive Sponsored Post Learning.,Seungbae Kim|Jyun-Yu Jiang|Wei Wang 0010
conf/wsdm/Ben-EliezerEOF22,2022,WSDM,inproceedings,Sampling Multiple Nodes in Large Networks: Beyond Random Walks.,Omri Ben-Eliezer|Talya Eden|Joel Oren|Dimitris Fotakis 0001
conf/wsdm/XinSH0022,2022,WSDM,inproceedings,Informed Multi-context Entity Alignment.,Kexuan Xin|Zequn Sun 0001|Wen Hua|Wei Hu 0007|Xiaofang Zhou 0001
conf/wsdm/HuS24,2024,WSDM,inproceedings,User Consented Federated Recommender System Against Personalized Attribute Inference Attack.,Qi Hu|Yangqiu Song
conf/wsdm/KiyoharaSMNSY22,2022,WSDM,inproceedings,Doubly Robust Off-Policy Evaluation for Ranking Policies under the Cascade Behavior Model.,Haruka Kiyohara|Yuta Saito|Tatsuya Matsuhiro|Yusuke Narita|Nobuyuki Shimizu|Yasuo Yamamoto
conf/wsdm/RosinGR22,2022,WSDM,inproceedings,Time Masking for Temporal Language Models.,Guy D. Rosin|Ido Guy|Kira Radinsky
conf/wsdm/BorattoM21,2021,WSDM,inproceedings,Advances in Bias-aware Recommendation on the Web.,Ludovico Boratto|Mirko Marras
conf/wsdm/ZhangXJCDY21,2021,WSDM,inproceedings,Modeling Across-Context Attention For Long-Tail Query Classification in E-commerce.,Junhao Zhang|Weidi Xu|Jianhui Ji|Xi Chen|Hongbo Deng|Keping Yang
conf/wsdm/ZhangYHDYL18,2018,WSDM,inproceedings,Discrete Deep Learning for Fast Content-Aware Recommendation.,Yan Zhang 0036|Hongzhi Yin|Zi Huang|Xingzhong Du|Guowu Yang|Defu Lian
conf/wsdm/KongWPZH24,2024,WSDM,inproceedings,C²DR: Robust Cross-Domain Recommendation based on Causal Disentanglement.,Menglin Kong|Jia Wang 0009|Yushan Pan|Haiyang Zhang 0004|Muzhou Hou
conf/wsdm/AkbiyikEKVA23,2023,WSDM,inproceedings,"Ask ""Who"", Not ""What"": Bitcoin Volatility Forecasting with Twitter Data.",M. Eren Akbiyik|Mert Erkul|Killian K|Vaiva Vasiliauskaite|Nino Antulov-Fantulin
conf/wsdm/WenWZC23,2023,WSDM,inproceedings,Visual Matching is Enough for Scene Text Retrieval.,Lilong Wen|Yingrong Wang|Dongxiang Zhang|Gang Chen 0001
conf/wsdm/WuW0ZW22,2022,WSDM,inproceedings,Improving the Applicability of Knowledge-Enhanced Dialogue Generation Systems by Using Heterogeneous Knowledge from Multiple Sources.,Sixing Wu|Minghui Wang|Ying Li 0012|Dawei Zhang 0003|Zhonghai Wu
conf/wsdm/ZhouDW20,2020,WSDM,inproceedings,Enhancing Re-finding Behavior with External Memories for Personalized Search.,Yujia Zhou 0002|Zhicheng Dou|Ji-Rong Wen
conf/wsdm/HuSXHCL18,2018,WSDM,inproceedings,Who Will Share My Image?: Predicting the Content Diffusion Path in Online Social Networks.,Wenjian Hu|Krishna Kumar Singh|Fanyi Xiao|Jinyoung Han|Chen-Nee Chuah|Yong Jae Lee
conf/wsdm/AwadallahGSW19,2019,WSDM,inproceedings,Task Intelligence Workshop @ WSDM 2019.,Ahmed Hassan Awadallah|Cathal Gurrin|Mark Sanderson|Ryen W. White
conf/wsdm/LaenenZM18,2018,WSDM,inproceedings,Web Search of Fashion Items with Multimodal Querying.,Katrien Laenen|Susana Zoghbi|Marie-Francine Moens
conf/wsdm/ZhengHM19,2019,WSDM,inproceedings,FaceOff: Assisting the Manifestation Design of Web Graphical User Interface.,Shuyu Zheng|Ziniu Hu|Yun Ma 0003
