window,event_type,model,candidate_count,positive_targets,top_k_precision,spearman_future_support
2018-2020,birth,support_only,3488,467,0.0,-0.022278087635807246
2018-2020,birth,persistence_only,3488,467,0.0,0.20774777895359317
2018-2020,birth,author_level_proxy,3488,467,0.0,0.16419757018678321
2018-2020,birth,evolving_geometry,3488,467,0.0,0.3365505848314565
2018-2020,birth,aggregation_birth_score,3488,467,0.0,0.3509134249679085
2019-2021,birth,support_only,3449,346,0.0,-0.058585061154764244
2019-2021,birth,persistence_only,3449,346,0.0,-0.2425163780893395
2019-2021,birth,author_level_proxy,3449,346,0.0,-0.047481628445194365
2019-2021,birth,evolving_geometry,3449,346,0.0,0.12986920515606892
2019-2021,birth,aggregation_birth_score,3449,346,0.0,0.2039465098160732
2020-2022,birth,support_only,3561,394,0.0,-0.025774651927717124
2020-2022,birth,persistence_only,3561,394,0.0,-0.25717090666625564
2020-2022,birth,author_level_proxy,3561,394,0.0,-0.04869255636363381
2020-2022,birth,evolving_geometry,3561,394,0.0,0.17941645289853064
2020-2022,birth,aggregation_birth_score,3561,394,0.0,0.24531971378260292
2021-2023,birth,support_only,3964,0,0.0,0.0
2021-2023,birth,persistence_only,3964,0,0.0,0.0
2021-2023,birth,author_level_proxy,3964,0,0.0,0.0
2021-2023,birth,evolving_geometry,3964,0,0.0,0.0
2021-2023,birth,aggregation_birth_score,3964,0,0.0,0.0
