window,model,target_mode,candidate_regime,score_location,candidate_count,positive_targets,top_k_precision,spearman_future_support
2018-2020,author_degree,binary_triangle_emergence,bridge_to_cluster,edges,221,3,0.0,-0.14388379672479695
2018-2020,author_productivity,binary_triangle_emergence,bridge_to_cluster,edges,221,3,0.0,-0.03353862728136777
2018-2020,graph_bridge,binary_triangle_emergence,bridge_to_cluster,edges,221,3,0.0,0.14984442730360364
2018-2020,simplex_support,binary_triangle_emergence,bridge_to_cluster,edges,221,3,0.0,-0.013761467889908256
2018-2020,persistence_only,binary_triangle_emergence,bridge_to_cluster,edges,221,3,0.0,0.07987169978024308
2018-2020,frozen_diffusion,binary_triangle_emergence,bridge_to_cluster,edges,221,3,0.0,0.09380585632479513
2018-2020,evolving_geometry,binary_triangle_emergence,bridge_to_cluster,edges,221,3,0.0,0.14075286447963808
2018-2020,btc_score,binary_triangle_emergence,bridge_to_cluster,edges,221,3,0.0,0.1444487821464995
2019-2021,author_degree,binary_triangle_emergence,bridge_to_cluster,edges,162,0,0.0,0.0
2019-2021,author_productivity,binary_triangle_emergence,bridge_to_cluster,edges,162,0,0.0,0.0
2019-2021,graph_bridge,binary_triangle_emergence,bridge_to_cluster,edges,162,0,0.0,0.0
2019-2021,simplex_support,binary_triangle_emergence,bridge_to_cluster,edges,162,0,0.0,0.0
2019-2021,persistence_only,binary_triangle_emergence,bridge_to_cluster,edges,162,0,0.0,0.0
2019-2021,frozen_diffusion,binary_triangle_emergence,bridge_to_cluster,edges,162,0,0.0,0.0
2019-2021,evolving_geometry,binary_triangle_emergence,bridge_to_cluster,edges,162,0,0.0,0.0
2019-2021,btc_score,binary_triangle_emergence,bridge_to_cluster,edges,162,0,0.0,0.0
2020-2022,author_degree,binary_triangle_emergence,bridge_to_cluster,edges,121,5,0.0,0.18813995845312148
2020-2022,author_productivity,binary_triangle_emergence,bridge_to_cluster,edges,121,5,0.0,0.1682610112591701
2020-2022,graph_bridge,binary_triangle_emergence,bridge_to_cluster,edges,121,5,0.0,0.005247594856910366
2020-2022,simplex_support,binary_triangle_emergence,bridge_to_cluster,edges,121,5,0.2,0.0
2020-2022,persistence_only,binary_triangle_emergence,bridge_to_cluster,edges,121,5,0.2,0.0
2020-2022,frozen_diffusion,binary_triangle_emergence,bridge_to_cluster,edges,121,5,0.6,0.21191073684434567
2020-2022,evolving_geometry,binary_triangle_emergence,bridge_to_cluster,edges,121,5,0.6,0.1916508426165604
2020-2022,btc_score,binary_triangle_emergence,bridge_to_cluster,edges,121,5,0.2,0.14097483644664763
2021-2023,author_degree,binary_triangle_emergence,bridge_to_cluster,edges,135,0,0.0,0.0
2021-2023,author_productivity,binary_triangle_emergence,bridge_to_cluster,edges,135,0,0.0,0.0
2021-2023,graph_bridge,binary_triangle_emergence,bridge_to_cluster,edges,135,0,0.0,0.0
2021-2023,simplex_support,binary_triangle_emergence,bridge_to_cluster,edges,135,0,0.0,0.0
2021-2023,persistence_only,binary_triangle_emergence,bridge_to_cluster,edges,135,0,0.0,0.0
2021-2023,frozen_diffusion,binary_triangle_emergence,bridge_to_cluster,edges,135,0,0.0,0.0
2021-2023,evolving_geometry,binary_triangle_emergence,bridge_to_cluster,edges,135,0,0.0,0.0
2021-2023,btc_score,binary_triangle_emergence,bridge_to_cluster,edges,135,0,0.0,0.0
