window,model,target_mode,candidate_regime,score_location,candidate_count,positive_targets,top_k_precision,spearman_future_support
2018-2020,author_degree,future_branching,bridge_emergence,edges,259,3,0.0,-0.13914841486037932
2018-2020,author_productivity,future_branching,bridge_emergence,edges,259,3,0.0,-0.0549328975035998
2018-2020,graph_bridge,future_branching,bridge_emergence,edges,259,3,0.0,0.12495509018024355
2018-2020,simplex_support,future_branching,bridge_emergence,edges,259,3,0.0,-0.0468352534032282
2018-2020,persistence_only,future_branching,bridge_emergence,edges,259,3,0.0,0.06717064826479506
2018-2020,frozen_diffusion,future_branching,bridge_emergence,edges,259,3,0.0,0.08964864473907226
2018-2020,evolving_geometry,future_branching,bridge_emergence,edges,259,3,0.0,0.08881375638164433
2019-2021,author_degree,future_branching,bridge_emergence,edges,171,0,0.0,0.0
2019-2021,author_productivity,future_branching,bridge_emergence,edges,171,0,0.0,0.0
2019-2021,graph_bridge,future_branching,bridge_emergence,edges,171,0,0.0,0.0
2019-2021,simplex_support,future_branching,bridge_emergence,edges,171,0,0.0,0.0
2019-2021,persistence_only,future_branching,bridge_emergence,edges,171,0,0.0,0.0
2019-2021,frozen_diffusion,future_branching,bridge_emergence,edges,171,0,0.0,0.0
2019-2021,evolving_geometry,future_branching,bridge_emergence,edges,171,0,0.0,0.0
2020-2022,author_degree,future_branching,bridge_emergence,edges,358,14,0.0,0.05286579715157972
2020-2022,author_productivity,future_branching,bridge_emergence,edges,358,14,0.0,0.012762627051332921
2020-2022,graph_bridge,future_branching,bridge_emergence,edges,358,14,0.2,-0.0005754249860499297
2020-2022,simplex_support,future_branching,bridge_emergence,edges,358,14,0.0,-0.04774966513862609
2020-2022,persistence_only,future_branching,bridge_emergence,edges,358,14,0.0,0.0
2020-2022,frozen_diffusion,future_branching,bridge_emergence,edges,358,14,0.6,0.10413665377326255
2020-2022,evolving_geometry,future_branching,bridge_emergence,edges,358,14,0.2,0.05401460872350694
2021-2023,author_degree,future_branching,bridge_emergence,edges,418,1,0.0,0.08657505561009042
2021-2023,author_productivity,future_branching,bridge_emergence,edges,418,1,0.0,0.09590884848734027
2021-2023,graph_bridge,future_branching,bridge_emergence,edges,418,1,0.0,-0.03362534372071852
2021-2023,simplex_support,future_branching,bridge_emergence,edges,418,1,0.0,-0.004163595701677556
2021-2023,persistence_only,future_branching,bridge_emergence,edges,418,1,0.0,0.0
2021-2023,frozen_diffusion,future_branching,bridge_emergence,edges,418,1,0.0,0.08156953108532938
2021-2023,evolving_geometry,future_branching,bridge_emergence,edges,418,1,0.0,0.07644215365309369
