window,model,target_mode,candidate_regime,score_location,candidate_count,positive_targets,top_k_precision,spearman_future_support
2018-2020,author_degree,future_support,all,edges,1252,826,1.0,0.05772930005533206
2018-2020,author_productivity,future_support,all,edges,1252,826,1.0,0.04425606559842906
2018-2020,graph_bridge,future_support,all,edges,1252,826,0.8,0.05803281641234081
2018-2020,simplex_support,future_support,all,edges,1252,826,1.0,0.26539047743678057
2018-2020,persistence_only,future_support,all,edges,1252,826,1.0,0.9630521704834246
2018-2020,frozen_diffusion,future_support,all,edges,1252,826,0.6,-0.012458403661947745
2018-2020,evolving_geometry,future_support,all,edges,1252,826,1.0,0.8281752298759683
2019-2021,author_degree,future_support,all,edges,1239,844,0.6,0.1139518089770678
2019-2021,author_productivity,future_support,all,edges,1239,844,0.5,0.14782766251328805
2019-2021,graph_bridge,future_support,all,edges,1239,844,0.7,0.015804048034607644
2019-2021,simplex_support,future_support,all,edges,1239,844,0.9,0.23798655177883987
2019-2021,persistence_only,future_support,all,edges,1239,844,1.0,0.5018376871169073
2019-2021,frozen_diffusion,future_support,all,edges,1239,844,0.7,-0.0651344121434822
2019-2021,evolving_geometry,future_support,all,edges,1239,844,1.0,0.41733342907304505
2020-2022,author_degree,future_support,all,edges,1263,883,1.0,0.036102788150137254
2020-2022,author_productivity,future_support,all,edges,1263,883,1.0,0.08629203314039849
2020-2022,graph_bridge,future_support,all,edges,1263,883,0.6,0.12031072792652732
2020-2022,simplex_support,future_support,all,edges,1263,883,0.9,0.26396819227160034
2020-2022,persistence_only,future_support,all,edges,1263,883,1.0,0.477993824729266
2020-2022,frozen_diffusion,future_support,all,edges,1263,883,0.9,0.062398858648932104
2020-2022,evolving_geometry,future_support,all,edges,1263,883,1.0,0.475224629404078
2021-2023,author_degree,future_support,all,edges,1394,990,0.8,0.1545566137763891
2021-2023,author_productivity,future_support,all,edges,1394,990,0.9,0.06097019855662207
2021-2023,graph_bridge,future_support,all,edges,1394,990,0.7,-0.04791914494669531
2021-2023,simplex_support,future_support,all,edges,1394,990,0.9,0.27925124110687566
2021-2023,persistence_only,future_support,all,edges,1394,990,1.0,0.47907983443627306
2021-2023,frozen_diffusion,future_support,all,edges,1394,990,0.4,-0.057031710802093766
2021-2023,evolving_geometry,future_support,all,edges,1394,990,1.0,0.3877476304082391
