window,model,target_mode,candidate_regime,score_location,candidate_count,positive_targets,top_k_precision,spearman_future_support
2018-2020,dyad_degree_projection,future_branching,bridge_emergence,triangles,1118,37,0.0,0.09798687736159284
2018-2020,dyad_productivity_projection,future_branching,bridge_emergence,triangles,1118,37,0.0,0.12497619127545281
2018-2020,triangle_support,future_branching,bridge_emergence,triangles,1118,37,0.2,0.01246932238678571
2018-2020,triangle_persistence,future_branching,bridge_emergence,triangles,1118,37,0.0,0.027874867692972375
2018-2020,frozen_diffusion,future_branching,bridge_emergence,triangles,1118,37,0.2,0.022854222396523738
2018-2020,evolving_geometry,future_branching,bridge_emergence,triangles,1118,37,0.2,0.02140125740542632
2018-2020,dyad_projection,future_branching,bridge_emergence,triangles,1118,37,0.2,0.10221808782613609
2018-2020,dyad_frozen_projection,future_branching,bridge_emergence,triangles,1118,37,0.0,-0.03887330435638553
2018-2020,mixed_geometry,future_branching,bridge_emergence,triangles,1118,37,0.2,0.03611946060047134
2019-2021,dyad_degree_projection,future_branching,bridge_emergence,triangles,725,27,0.2,0.1808504619074114
2019-2021,dyad_productivity_projection,future_branching,bridge_emergence,triangles,725,27,0.2,0.10899527616695585
2019-2021,triangle_support,future_branching,bridge_emergence,triangles,725,27,0.4,0.16390351731523323
2019-2021,triangle_persistence,future_branching,bridge_emergence,triangles,725,27,0.2,0.0
2019-2021,frozen_diffusion,future_branching,bridge_emergence,triangles,725,27,0.2,-0.06715395780411079
2019-2021,evolving_geometry,future_branching,bridge_emergence,triangles,725,27,0.2,-0.06200138667490231
2019-2021,dyad_projection,future_branching,bridge_emergence,triangles,725,27,0.2,0.07162367760634643
2019-2021,dyad_frozen_projection,future_branching,bridge_emergence,triangles,725,27,0.0,-0.06791628091743807
2019-2021,mixed_geometry,future_branching,bridge_emergence,triangles,725,27,0.4,0.059733124206710966
2020-2022,dyad_degree_projection,future_branching,bridge_emergence,triangles,763,35,0.4,-0.052625997846552024
2020-2022,dyad_productivity_projection,future_branching,bridge_emergence,triangles,763,35,0.0,0.06698906233578189
2020-2022,triangle_support,future_branching,bridge_emergence,triangles,763,35,0.0,-0.027708137847273787
2020-2022,triangle_persistence,future_branching,bridge_emergence,triangles,763,35,0.0,0.0
2020-2022,frozen_diffusion,future_branching,bridge_emergence,triangles,763,35,0.0,0.05979761426007831
2020-2022,evolving_geometry,future_branching,bridge_emergence,triangles,763,35,0.0,0.0386630706098618
2020-2022,dyad_projection,future_branching,bridge_emergence,triangles,763,35,0.6,0.22784362500921473
2020-2022,dyad_frozen_projection,future_branching,bridge_emergence,triangles,763,35,0.2,0.039986234533210124
2020-2022,mixed_geometry,future_branching,bridge_emergence,triangles,763,35,0.2,0.2166390893057174
2021-2023,dyad_degree_projection,future_branching,bridge_emergence,triangles,863,39,0.2,0.3051165594636054
2021-2023,dyad_productivity_projection,future_branching,bridge_emergence,triangles,863,39,0.4,0.2874019113785337
2021-2023,triangle_support,future_branching,bridge_emergence,triangles,863,39,0.4,0.22388165511691063
2021-2023,triangle_persistence,future_branching,bridge_emergence,triangles,863,39,0.2,0.0
2021-2023,frozen_diffusion,future_branching,bridge_emergence,triangles,863,39,0.4,-0.10399784351998963
2021-2023,evolving_geometry,future_branching,bridge_emergence,triangles,863,39,0.4,-0.11934323834293149
2021-2023,dyad_projection,future_branching,bridge_emergence,triangles,863,39,0.2,0.18583254708215405
2021-2023,dyad_frozen_projection,future_branching,bridge_emergence,triangles,863,39,0.0,-0.020121140541181828
2021-2023,mixed_geometry,future_branching,bridge_emergence,triangles,863,39,0.6,0.11511997434566165
