window,simplex,target_mode,candidate_regime,score,support_count,persistence,future_support
2018-2020,Guruprasad Nayak-Vipin Kumar 0001-Xiaowei Jia,future_branching,bridge_emergence,0.7985272006220405,4.0,0.5,0.0
2018-2020,Carlotta Domeniconi-Guoxian Yu-Jun Wang 0035,future_branching,bridge_emergence,0.6972718295834774,3.0,0.5,1.0
2018-2020,Guruprasad Nayak-Sheng Li 0001-Vipin Kumar 0001,future_branching,bridge_emergence,0.52902756613168,1.0,0.5,0.0
2018-2020,Huan Liu 0001-Lu Cheng 0001-Ruocheng Guo,future_branching,bridge_emergence,0.4620212288104687,2.0,0.5,0.0
2018-2020,Constance M. Moore-John Boaz Lee-Xiangnan Kong,future_branching,bridge_emergence,0.4614995746879095,2.0,0.5,0.0
2019-2021,Ahmad Hariri-Kunpeng Liu 0001-Yanjie Fu,future_branching,bridge_emergence,0.5134951299027992,2.0,0.5,2.0
2019-2021,Guruprasad Nayak-Sheng Li 0001-Vipin Kumar 0001,future_branching,bridge_emergence,0.46857898012429855,1.0,0.5,0.0
2019-2021,Ian Stockwell-James R. Foulds-Shimei Pan,future_branching,bridge_emergence,0.4247651444099051,1.0,0.5,0.0
2019-2021,Anuj Karpatne-Guruprasad Nayak-Xiaowei Jia,future_branching,bridge_emergence,0.40039305514530965,2.0,0.5,0.0
2019-2021,Ankush Khandelwal-Guruprasad Nayak-Xiaowei Jia,future_branching,bridge_emergence,0.4003930298288112,2.0,0.5,0.0
2020-2022,Constance M. Moore-John Boaz Lee-Xiangnan Kong,future_branching,bridge_emergence,0.5249803696067938,2.0,0.5,0.0
2020-2022,Akihiro Yamaguchi-Ken Ueno-Shigeru Maya,future_branching,bridge_emergence,0.5055644811631734,2.0,0.5,0.0
2020-2022,Chenxi Sun-Hongyan Li 0002-Shenda Hong,future_branching,bridge_emergence,0.47497783479865446,2.0,0.5,0.0
2020-2022,Chenxi Sun-Derun Cai-Shenda Hong,future_branching,bridge_emergence,0.47497774751824023,2.0,0.5,0.0
2020-2022,Chenxi Sun-Moxian Song-Shenda Hong,future_branching,bridge_emergence,0.47497774751824023,2.0,0.5,0.0
2021-2023,Ahmad Hariri-Kunpeng Liu 0001-Yanjie Fu,future_branching,bridge_emergence,0.5556365447965639,2.0,0.5,2.0
2021-2023,Shengyu Chen-Xiaowei Jia-Yiqun Xie,future_branching,bridge_emergence,0.5480830533128689,2.0,0.5,5.0
2021-2023,Fenglong Ma-Tianqi Wang-Yaqing Wang 0001,future_branching,bridge_emergence,0.49347089114706544,1.0,0.5,0.0
2021-2023,Jing Gao 0004-Tianqi Wang-Yaqing Wang 0001,future_branching,bridge_emergence,0.36778380207317507,1.0,0.5,0.0
2021-2023,Mechelle Claridy-Sheng Li 0001-Zhixuan Chu,future_branching,bridge_emergence,0.3654292532868008,1.0,0.5,0.0
