window,event_type,model,candidate_count,positive_targets,top_k_precision,spearman_future_support
2018-2020,reinforcement,support_only,3488,2336,0.875,0.07135195349168592
2018-2020,reinforcement,persistence_only,3488,2336,0.875,0.7545898902361363
2018-2020,reinforcement,author_level_proxy,3488,2336,1.0,0.567509812286827
2018-2020,reinforcement,evolving_geometry,3488,2336,0.625,0.2986167020324395
2018-2020,reinforcement,aggregation_birth_score,3488,2336,0.625,0.0652372725564931
2019-2021,reinforcement,support_only,3449,1259,0.0,-0.06052304205918425
2019-2021,reinforcement,persistence_only,3449,1259,0.0,-0.4821815113193646
2019-2021,reinforcement,author_level_proxy,3449,1259,1.0,0.04936637962759362
2019-2021,reinforcement,evolving_geometry,3449,1259,0.125,-0.048553220483348376
2019-2021,reinforcement,aggregation_birth_score,3449,1259,0.5,-0.07622610912503505
2020-2022,reinforcement,support_only,3561,1406,0.25,0.022459021799128034
2020-2022,reinforcement,persistence_only,3561,1406,0.0,-0.4854826383256952
2020-2022,reinforcement,author_level_proxy,3561,1406,0.0,0.06371185027145232
2020-2022,reinforcement,evolving_geometry,3561,1406,0.125,-0.03169675278776831
2020-2022,reinforcement,aggregation_birth_score,3561,1406,0.125,-0.0713752085303054
2021-2023,reinforcement,support_only,3964,79,0.0,-0.005338866597500707
2021-2023,reinforcement,persistence_only,3964,79,0.0,-0.043198088665074665
2021-2023,reinforcement,author_level_proxy,3964,79,0.875,0.09443237051024676
2021-2023,reinforcement,evolving_geometry,3964,79,0.0,0.11922203911809143
2021-2023,reinforcement,aggregation_birth_score,3964,79,0.0,0.03449354005475401
