window,model,top_k_precision,spearman_future_support
2020-2021,author_degree,0.6666666666666666,-0.2747211278973781
2020-2021,author_productivity,0.6666666666666666,-0.35355339059327384
2020-2021,graph_bridge,0.6666666666666666,-0.41208169184606713
2020-2021,simplex_support,0.6666666666666666,-0.35355339059327384
2020-2021,persistence_only,1.0,0.5400617248673217
2020-2021,frozen_diffusion,1.0,0.4045199174779453
2020-2021,evolving_geometry,0.6666666666666666,0.2696799449852969
2021-2022,author_degree,0.6666666666666666,0.09393364366277243
2021-2022,author_productivity,0.6666666666666666,0.16699314428937317
2021-2022,graph_bridge,0.6666666666666666,0.07692772189617514
2021-2022,simplex_support,0.3333333333333333,0.0
2021-2022,persistence_only,0.6666666666666666,0.07777777777777775
2021-2022,frozen_diffusion,0.6666666666666666,0.5025189076296059
2021-2022,evolving_geometry,1.0,0.557773351022717
