task,venue,model,mean_top_k_precision,mean_spearman
broad_recurrence,SDM,author_degree,0.8500000000000001,0.09058512773973156
broad_recurrence,SDM,author_productivity,0.85,0.08483648995218442
broad_recurrence,SDM,graph_bridge,0.7,0.03655711185669512
broad_recurrence,SDM,simplex_support,0.9249999999999999,0.2616491156485241
broad_recurrence,SDM,persistence_only,1.0,0.6054908791914677
broad_recurrence,SDM,frozen_diffusion,0.6499999999999999,-0.0180564169896479
broad_recurrence,SDM,evolving_geometry,1.0,0.5271202296903326
broad_recurrence,WSDM,author_degree,0.75,0.07772748207271553
broad_recurrence,WSDM,author_productivity,0.9,0.08139648471246295
broad_recurrence,WSDM,graph_bridge,0.625,0.071574609545008
broad_recurrence,WSDM,simplex_support,1.0,0.2878882093820877
broad_recurrence,WSDM,persistence_only,1.0,0.5918877205365768
broad_recurrence,WSDM,frozen_diffusion,0.575,0.00311979789274789
broad_recurrence,WSDM,evolving_geometry,1.0,0.5218881906168075
bridge_emergence,SDM,author_degree,0.0,7.31094753227031e-05
bridge_emergence,SDM,author_productivity,0.0,0.013434644508768348
bridge_emergence,SDM,graph_bridge,0.05,0.022688580368368773
bridge_emergence,SDM,simplex_support,0.0,-0.024687128560882964
bridge_emergence,SDM,persistence_only,0.0,0.016792662066198765
bridge_emergence,SDM,frozen_diffusion,0.15,0.06883870739941605
bridge_emergence,SDM,evolving_geometry,0.05,0.05481762968956125
bridge_emergence,WSDM,author_degree,0.0,0.07755804785183035
bridge_emergence,WSDM,author_productivity,0.05,0.0832556689709236
bridge_emergence,WSDM,graph_bridge,0.05,0.030089462896638258
bridge_emergence,WSDM,simplex_support,0.05,0.0121157230321086
bridge_emergence,WSDM,persistence_only,0.0,0.02970328585851927
bridge_emergence,WSDM,frozen_diffusion,0.0,0.05802546656308286
bridge_emergence,WSDM,evolving_geometry,0.0,0.07506958314484294
bridge_to_cluster,SDM,author_degree,0.0,0.011005095607264231
bridge_to_cluster,SDM,author_productivity,0.0,0.033611932548088516
bridge_to_cluster,SDM,graph_bridge,0.0,0.03888767948031316
bridge_to_cluster,SDM,simplex_support,0.05,-0.003440295565198598
bridge_to_cluster,SDM,persistence_only,0.05,0.019967510496489344
bridge_to_cluster,SDM,frozen_diffusion,0.15,0.07645343356932956
bridge_to_cluster,SDM,evolving_geometry,0.15,0.08309671240447605
bridge_to_cluster,SDM,btc_score,0.05,0.0713788464020022
bridge_to_cluster,WSDM,author_degree,0.15000000000000002,0.09622302292267795
bridge_to_cluster,WSDM,author_productivity,0.1,0.09441097679518956
bridge_to_cluster,WSDM,graph_bridge,0.05,0.0007494194066072369
bridge_to_cluster,WSDM,simplex_support,0.0,-0.003936319358131995
bridge_to_cluster,WSDM,persistence_only,0.0,0.03591554384839926
bridge_to_cluster,WSDM,frozen_diffusion,0.0,0.06664512884618896
bridge_to_cluster,WSDM,evolving_geometry,0.0,0.10723893958310189
bridge_to_cluster,WSDM,btc_score,0.1,0.06281806927400195
