venue,model,mean_top_k_precision,mean_spearman_future_support
SDM,dyad_degree_projection,0.2,0.1328319752215144
SDM,dyad_productivity_projection,0.15000000000000002,0.14709061028918108
SDM,triangle_support,0.25,0.09313658924291396
SDM,triangle_persistence,0.1,0.006968716923243094
SDM,frozen_diffusion,0.2,-0.022124991166874594
SDM,evolving_geometry,0.2,-0.030320074250636424
SDM,dyad_projection,0.3,0.14687948438096282
SDM,dyad_frozen_projection,0.05,-0.021731122820448825
SDM,mixed_geometry,0.35,0.10690291211464034
WSDM,dyad_degree_projection,0.15000000000000002,0.14368250780024247
WSDM,dyad_productivity_projection,0.35,0.16491521559096425
WSDM,triangle_support,0.1,0.004046403225948598
WSDM,triangle_persistence,0.05,0.027675129819434655
WSDM,frozen_diffusion,0.0,0.009561265786878834
WSDM,evolving_geometry,0.0,0.026883546698595114
WSDM,dyad_projection,0.2,0.17800583965217254
WSDM,dyad_frozen_projection,0.1,0.06808083209741106
WSDM,mixed_geometry,0.15000000000000002,0.16530458556610664
