window,event_type,model,candidate_count,positive_targets,top_k_precision,spearman_future_support
2018-2020,birth,support_only,5679,909,0.125,0.012244849932308332
2018-2020,birth,persistence_only,5679,909,0.0,0.16239781411614856
2018-2020,birth,author_level_proxy,5679,909,0.0,0.16820494914629255
2018-2020,birth,evolving_geometry,5679,909,0.0,0.3562200834012159
2018-2020,birth,aggregation_birth_score,5679,909,0.0,0.363352305185846
2019-2021,birth,support_only,6501,800,0.0,-0.06943801250243405
2019-2021,birth,persistence_only,6501,800,0.0,-0.268985663502472
2019-2021,birth,author_level_proxy,6501,800,0.25,-0.07637211847315828
2019-2021,birth,evolving_geometry,6501,800,0.0,0.15429405854450662
2019-2021,birth,aggregation_birth_score,6501,800,0.0,0.26305854203450313
2020-2022,birth,support_only,7238,952,0.0,-0.07344627095055535
2020-2022,birth,persistence_only,7238,952,0.0,-0.2855413883928228
2020-2022,birth,author_level_proxy,7238,952,0.0,-0.07170611271945415
2020-2022,birth,evolving_geometry,7238,952,0.0,0.2071174055076733
2020-2022,birth,aggregation_birth_score,7238,952,0.0,0.30507399032020605
2021-2023,birth,support_only,8075,12,0.0,0.035124473128763295
2021-2023,birth,persistence_only,8075,12,0.0,-0.021723349853108104
2021-2023,birth,author_level_proxy,8075,12,0.125,0.021416587946573515
2021-2023,birth,evolving_geometry,8075,12,0.125,0.011435441072057132
2021-2023,birth,aggregation_birth_score,8075,12,0.0,0.01565571805709506
