window,event_type,aggregation_id,unit_type,members,score,target,closure,persistence,activity
2018-2020,birth,triangle:Min Zhang 0006-Shaoping Ma-Yiqun Liu 0001,triangle_seed,Min Zhang 0006-Shaoping Ma-Yiqun Liu 0001,16.78121513660047,0.0,1.0,0.5,1.1249969759889638
2018-2020,birth,neighborhood:Jiyin He-Maarten de Rijke-Xiaohui Xie,local_neighborhood,Jiyin He-Maarten de Rijke-Min Zhang 0006-Shaoping Ma-Xiaohui Xie-Yiqun Liu 0001,14.288888717814357,0.0,1.0,0.0,2.1906547775396046
2018-2020,birth,neighborhood:Maarten de Rijke-Min Zhang 0006-Xiaohui Xie,local_neighborhood,Jiyin He-Maarten de Rijke-Min Zhang 0006-Shaoping Ma-Xiaohui Xie-Yiqun Liu 0001,14.288888717814357,0.0,1.0,0.0,2.1906547775396046
2018-2020,birth,neighborhood:Maarten de Rijke-Shaoping Ma-Xiaohui Xie,local_neighborhood,Jiyin He-Maarten de Rijke-Min Zhang 0006-Shaoping Ma-Xiaohui Xie-Yiqun Liu 0001,14.288888717814357,0.0,1.0,0.0,2.1906547775396046
2018-2020,birth,neighborhood:Maarten de Rijke-Xiaohui Xie-Yiqun Liu 0001,local_neighborhood,Jiyin He-Maarten de Rijke-Min Zhang 0006-Shaoping Ma-Xiaohui Xie-Yiqun Liu 0001,14.288888717814357,0.0,1.0,0.0,2.1906547775396046
2018-2020,birth,neighborhood:Jiaxin Mao-Mark Sanderson-Yukun Zheng,local_neighborhood,Jiaxin Mao-Mark Sanderson-Min Zhang 0006-Shaoping Ma-Yiqun Liu 0001-Yukun Zheng,14.232444254319457,0.0,1.0,0.5,4.214475645819785
2018-2020,birth,neighborhood:Mark Sanderson-Min Zhang 0006-Yukun Zheng,local_neighborhood,Jiaxin Mao-Mark Sanderson-Min Zhang 0006-Shaoping Ma-Yiqun Liu 0001-Yukun Zheng,14.232444254319457,0.0,1.0,0.5,4.214475645819785
2018-2020,birth,neighborhood:Mark Sanderson-Shaoping Ma-Yukun Zheng,local_neighborhood,Jiaxin Mao-Mark Sanderson-Min Zhang 0006-Shaoping Ma-Yiqun Liu 0001-Yukun Zheng,14.232444254319457,0.0,1.0,0.5,4.214475645819785
2019-2021,birth,triangle:Min Zhang 0006-Shaoping Ma-Yiqun Liu 0001,triangle_seed,Min Zhang 0006-Shaoping Ma-Yiqun Liu 0001,13.530177966483937,0.0,1.0,1.0,1.5889424422064222
2019-2021,birth,triangle:Dawei Yin 0001-Maarten de Rijke-Zhaochun Ren,triangle_seed,Dawei Yin 0001-Maarten de Rijke-Zhaochun Ren,11.823885743483277,0.0,1.0,1.0,1.4461268486023386
2019-2021,birth,neighborhood:Jiaxin Mao-Mark Sanderson-Yukun Zheng,local_neighborhood,Jiaxin Mao-Mark Sanderson-Min Zhang 0006-Shaoping Ma-Yiqun Liu 0001-Yukun Zheng,10.678390575164599,0.0,1.0,1.0,6.888426249521255
2019-2021,birth,neighborhood:Mark Sanderson-Min Zhang 0006-Yukun Zheng,local_neighborhood,Jiaxin Mao-Mark Sanderson-Min Zhang 0006-Shaoping Ma-Yiqun Liu 0001-Yukun Zheng,10.678390575164599,0.0,1.0,1.0,6.888426249521255
2019-2021,birth,neighborhood:Mark Sanderson-Shaoping Ma-Yukun Zheng,local_neighborhood,Jiaxin Mao-Mark Sanderson-Min Zhang 0006-Shaoping Ma-Yiqun Liu 0001-Yukun Zheng,10.678390575164599,0.0,1.0,1.0,6.888426249521255
2019-2021,birth,neighborhood:Mark Sanderson-Yiqun Liu 0001-Yukun Zheng,local_neighborhood,Jiaxin Mao-Mark Sanderson-Min Zhang 0006-Shaoping Ma-Yiqun Liu 0001-Yukun Zheng,10.678390575164599,0.0,1.0,1.0,6.888426249521255
2019-2021,birth,triangle:James Caverlee-Jianling Wang-Yin Zhang 0011,triangle_seed,James Caverlee-Jianling Wang-Yin Zhang 0011,10.405576572537488,0.0,1.0,1.0,1.5832231480108387
2019-2021,birth,triangle:Jiafeng Guo-Xueqi Cheng-Yixing Fan,triangle_seed,Jiafeng Guo-Xueqi Cheng-Yixing Fan,10.336306087219599,0.0,1.0,1.0,1.4539631395445634
2020-2022,birth,neighborhood:Jiaxin Mao-Mark Sanderson-Yukun Zheng,local_neighborhood,Jiaxin Mao-Mark Sanderson-Min Zhang 0006-Shaoping Ma-Yiqun Liu 0001-Yukun Zheng,9.951030629827425,0.0,1.0,0.5,5.176078475260736
2020-2022,birth,neighborhood:Mark Sanderson-Min Zhang 0006-Yukun Zheng,local_neighborhood,Jiaxin Mao-Mark Sanderson-Min Zhang 0006-Shaoping Ma-Yiqun Liu 0001-Yukun Zheng,9.951030629827425,0.0,1.0,0.5,5.176078475260736
2020-2022,birth,neighborhood:Mark Sanderson-Shaoping Ma-Yukun Zheng,local_neighborhood,Jiaxin Mao-Mark Sanderson-Min Zhang 0006-Shaoping Ma-Yiqun Liu 0001-Yukun Zheng,9.951030629827425,0.0,1.0,0.5,5.176078475260736
2020-2022,birth,neighborhood:Mark Sanderson-Yiqun Liu 0001-Yukun Zheng,local_neighborhood,Jiaxin Mao-Mark Sanderson-Min Zhang 0006-Shaoping Ma-Yiqun Liu 0001-Yukun Zheng,9.951030629827425,0.0,1.0,0.5,5.176078475260736
2020-2022,birth,triangle:Jiliang Tang-Tyler Derr-Yao Ma 0001,triangle_seed,Jiliang Tang-Tyler Derr-Yao Ma 0001,9.949012712971184,0.0,1.0,1.0,1.4024553778715405
2020-2022,birth,neighborhood:Jiafeng Guo-Jiaxin Mao-Jingtao Zhan,local_neighborhood,Jiafeng Guo-Jiaxin Mao-Jingtao Zhan-Min Zhang 0006-Shaoping Ma-Yiqun Liu 0001,9.928739472188663,0.0,1.0,0.5,5.267453211833477
2020-2022,birth,neighborhood:Jiafeng Guo-Jingtao Zhan-Min Zhang 0006,local_neighborhood,Jiafeng Guo-Jiaxin Mao-Jingtao Zhan-Min Zhang 0006-Shaoping Ma-Yiqun Liu 0001,9.928739472188663,0.0,1.0,0.5,5.267453211833477
2020-2022,birth,neighborhood:Jiafeng Guo-Jingtao Zhan-Shaoping Ma,local_neighborhood,Jiafeng Guo-Jiaxin Mao-Jingtao Zhan-Min Zhang 0006-Shaoping Ma-Yiqun Liu 0001,9.928739472188663,0.0,1.0,0.5,5.267453211833477
2021-2023,birth,neighborhood:Chen Chen 0022-Jundong Li-Kaize Ding,local_neighborhood,Aidong Zhang 0001-Chen Chen 0022-Huan Liu 0001-Jing Ma 0002-Jundong Li-Kaize Ding-Nitesh V. Chawla-Ruocheng Guo-Song Wang 0013-Yushun Dong,11.70410734573864,0.0,0.20833333333333334,0.5,10.103277436648291
2021-2023,birth,neighborhood:Chen Chen 0022-Jundong Li-Song Wang 0013,local_neighborhood,Aidong Zhang 0001-Chen Chen 0022-Jing Ma 0002-Jundong Li-Kaize Ding-Ruocheng Guo-Song Wang 0013-Yushun Dong,10.271421896719387,0.0,0.35714285714285715,0.5,7.331862962943454
2021-2023,birth,neighborhood:Chen Chen 0022-Jundong Li-Yushun Dong,local_neighborhood,Aidong Zhang 0001-Chen Chen 0022-Jing Ma 0002-Jundong Li-Kaize Ding-Ruocheng Guo-Song Wang 0013-Yushun Dong,10.271421896719387,0.0,0.35714285714285715,0.5,7.331862962943454
2021-2023,birth,triangle:Tat-Seng Chua-Xiang Wang 0010-Xiangnan He 0001,triangle_seed,Tat-Seng Chua-Xiang Wang 0010-Xiangnan He 0001,9.862093567162912,0.0,1.0,1.0,1.5041050557983215
2021-2023,birth,triangle:Jiawei Han 0001-Yu Meng 0001-Yu Zhang 0044,triangle_seed,Jiawei Han 0001-Yu Meng 0001-Yu Zhang 0044,9.64048582318951,0.0,1.0,1.0,1.5968322133961856
2021-2023,birth,triangle:Bin Wang 0004-Jiangxia Cao-Tingwen Liu,triangle_seed,Bin Wang 0004-Jiangxia Cao-Tingwen Liu,9.465662407947253,0.0,1.0,1.0,1.4595637183176242
2021-2023,birth,triangle:Jiangjie Chen-Jiaqing Liang-Yanghua Xiao,triangle_seed,Jiangjie Chen-Jiaqing Liang-Yanghua Xiao,9.300493734163174,0.0,1.0,1.0,1.4154406654594553
2021-2023,birth,triangle:Hongzhi Yin-Shijie Zhang-Zi Huang,triangle_seed,Hongzhi Yin-Shijie Zhang-Zi Huang,8.880214149891254,0.0,1.0,1.0,1.4543460580927725
