window,model,target_mode,candidate_regime,score_location,candidate_count,positive_targets,top_k_precision,spearman_future_support
2018-2020,author_degree,binary_triangle_emergence,bridge_to_cluster,edges,224,6,0.2,0.0911025900590271
2018-2020,author_productivity,binary_triangle_emergence,bridge_to_cluster,edges,224,6,0.0,0.09305197705036249
2018-2020,graph_bridge,binary_triangle_emergence,bridge_to_cluster,edges,224,6,0.0,0.006880339441387886
2018-2020,simplex_support,binary_triangle_emergence,bridge_to_cluster,edges,224,6,0.0,-0.015746567130480955
2018-2020,persistence_only,binary_triangle_emergence,bridge_to_cluster,edges,224,6,0.0,0.1436739427831727
2018-2020,frozen_diffusion,binary_triangle_emergence,bridge_to_cluster,edges,224,6,0.0,-0.004045447152090815
2018-2020,evolving_geometry,binary_triangle_emergence,bridge_to_cluster,edges,224,6,0.0,0.11630902803089108
2018-2020,btc_score,binary_triangle_emergence,bridge_to_cluster,edges,224,6,0.0,0.0833226738563842
2019-2021,author_degree,binary_triangle_emergence,bridge_to_cluster,edges,138,7,0.4,0.18903461066250676
2019-2021,author_productivity,binary_triangle_emergence,bridge_to_cluster,edges,138,7,0.4,0.19248483011667297
2019-2021,graph_bridge,binary_triangle_emergence,bridge_to_cluster,edges,138,7,0.2,0.08149020308369452
2019-2021,simplex_support,binary_triangle_emergence,bridge_to_cluster,edges,138,7,0.0,0.0
2019-2021,persistence_only,binary_triangle_emergence,bridge_to_cluster,edges,138,7,0.0,0.0
2019-2021,frozen_diffusion,binary_triangle_emergence,bridge_to_cluster,edges,138,7,0.0,0.10843320689319336
2019-2021,evolving_geometry,binary_triangle_emergence,bridge_to_cluster,edges,138,7,0.0,0.109419673416423
2019-2021,btc_score,binary_triangle_emergence,bridge_to_cluster,edges,138,7,0.4,0.07322701220945232
2020-2022,author_degree,binary_triangle_emergence,bridge_to_cluster,edges,155,1,0.0,-0.04227064613007837
2020-2022,author_productivity,binary_triangle_emergence,bridge_to_cluster,edges,155,1,0.0,-0.06211938972841593
2020-2022,graph_bridge,binary_triangle_emergence,bridge_to_cluster,edges,155,1,0.0,-0.029208927352832443
2020-2022,simplex_support,binary_triangle_emergence,bridge_to_cluster,edges,155,1,0.0,0.0
2020-2022,persistence_only,binary_triangle_emergence,bridge_to_cluster,edges,155,1,0.0,0.0
2020-2022,frozen_diffusion,binary_triangle_emergence,bridge_to_cluster,edges,155,1,0.0,-0.014733413700709618
2020-2022,evolving_geometry,binary_triangle_emergence,bridge_to_cluster,edges,155,1,0.0,0.036697169990138
2020-2022,btc_score,binary_triangle_emergence,bridge_to_cluster,edges,155,1,0.0,-0.003669720067804757
2021-2023,author_degree,binary_triangle_emergence,bridge_to_cluster,edges,131,2,0.0,0.1446960269701222
2021-2023,author_productivity,binary_triangle_emergence,bridge_to_cluster,edges,131,2,0.0,0.1513666628320826
2021-2023,graph_bridge,binary_triangle_emergence,bridge_to_cluster,edges,131,2,0.0,-0.05746086810836456
2021-2023,simplex_support,binary_triangle_emergence,bridge_to_cluster,edges,131,2,0.0,0.0
2021-2023,persistence_only,binary_triangle_emergence,bridge_to_cluster,edges,131,2,0.0,0.0
2021-2023,frozen_diffusion,binary_triangle_emergence,bridge_to_cluster,edges,131,2,0.0,0.17525893677131718
2021-2023,evolving_geometry,binary_triangle_emergence,bridge_to_cluster,edges,131,2,0.0,0.16490291209462346
2021-2023,btc_score,binary_triangle_emergence,bridge_to_cluster,edges,131,2,0.0,0.0966097868837188
