window,model,target_mode,candidate_regime,score_location,candidate_count,positive_targets,top_k_precision,spearman_future_support
2018-2020,author_degree,edge_to_triangle_expansion,bridge_to_cluster,edges,224,6,0.2,0.09190245299489777
2018-2020,author_productivity,edge_to_triangle_expansion,bridge_to_cluster,edges,224,6,0.0,0.09403915641297912
2018-2020,graph_bridge,edge_to_triangle_expansion,bridge_to_cluster,edges,224,6,0.0,0.007567753509741573
2018-2020,simplex_support,edge_to_triangle_expansion,bridge_to_cluster,edges,224,6,0.0,-0.01574527743252798
2018-2020,persistence_only,edge_to_triangle_expansion,bridge_to_cluster,edges,224,6,0.0,0.14366217539359705
2018-2020,frozen_diffusion,edge_to_triangle_expansion,bridge_to_cluster,edges,224,6,0.0,-0.003051895414802026
2018-2020,evolving_geometry,edge_to_triangle_expansion,bridge_to_cluster,edges,224,6,0.0,0.1167068255523076
2018-2020,btc_score,edge_to_triangle_expansion,bridge_to_cluster,edges,224,6,0.0,0.08347457179674873
2019-2021,author_degree,edge_to_triangle_expansion,bridge_to_cluster,edges,138,7,0.4,0.19079752412835485
2019-2021,author_productivity,edge_to_triangle_expansion,bridge_to_cluster,edges,138,7,0.4,0.19479435865902223
2019-2021,graph_bridge,edge_to_triangle_expansion,bridge_to_cluster,edges,138,7,0.2,0.08209801952705165
2019-2021,simplex_support,edge_to_triangle_expansion,bridge_to_cluster,edges,138,7,0.0,0.0
2019-2021,persistence_only,edge_to_triangle_expansion,bridge_to_cluster,edges,138,7,0.0,0.0
2019-2021,frozen_diffusion,edge_to_triangle_expansion,bridge_to_cluster,edges,138,7,0.0,0.1089247788957077
2019-2021,evolving_geometry,edge_to_triangle_expansion,bridge_to_cluster,edges,138,7,0.0,0.11046300779242312
2019-2021,btc_score,edge_to_triangle_expansion,bridge_to_cluster,edges,138,7,0.4,0.07475877853162942
2020-2022,author_degree,edge_to_triangle_expansion,bridge_to_cluster,edges,155,1,0.0,-0.04227064613007837
2020-2022,author_productivity,edge_to_triangle_expansion,bridge_to_cluster,edges,155,1,0.0,-0.06211938972841593
2020-2022,graph_bridge,edge_to_triangle_expansion,bridge_to_cluster,edges,155,1,0.0,-0.029208927352832443
2020-2022,simplex_support,edge_to_triangle_expansion,bridge_to_cluster,edges,155,1,0.0,0.0
2020-2022,persistence_only,edge_to_triangle_expansion,bridge_to_cluster,edges,155,1,0.0,0.0
2020-2022,frozen_diffusion,edge_to_triangle_expansion,bridge_to_cluster,edges,155,1,0.0,-0.014733413700709618
2020-2022,evolving_geometry,edge_to_triangle_expansion,bridge_to_cluster,edges,155,1,0.0,0.036697169990138
2020-2022,btc_score,edge_to_triangle_expansion,bridge_to_cluster,edges,155,1,0.0,-0.003669720067804757
2021-2023,author_degree,edge_to_triangle_expansion,bridge_to_cluster,edges,131,2,0.0,0.14446276069753752
2021-2023,author_productivity,edge_to_triangle_expansion,bridge_to_cluster,edges,131,2,0.0,0.15092978183717284
2021-2023,graph_bridge,edge_to_triangle_expansion,bridge_to_cluster,edges,131,2,0.0,-0.05745916805753184
2021-2023,simplex_support,edge_to_triangle_expansion,bridge_to_cluster,edges,131,2,0.0,0.0
2021-2023,persistence_only,edge_to_triangle_expansion,bridge_to_cluster,edges,131,2,0.0,0.0
2021-2023,frozen_diffusion,edge_to_triangle_expansion,bridge_to_cluster,edges,131,2,0.0,0.1754410456045598
2021-2023,evolving_geometry,edge_to_triangle_expansion,bridge_to_cluster,edges,131,2,0.0,0.16508875499753883
2021-2023,btc_score,edge_to_triangle_expansion,bridge_to_cluster,edges,131,2,0.0,0.09670864683543441
