window,model,target_mode,candidate_regime,score_location,candidate_count,positive_targets,top_k_precision,spearman_future_support
2018-2020,author_degree,future_branching,bridge_emergence,edges,686,22,0.0,0.143636771557103
2018-2020,author_productivity,future_branching,bridge_emergence,edges,686,22,0.2,0.1611800562982791
2018-2020,graph_bridge,future_branching,bridge_emergence,edges,686,22,0.0,0.033152948979567595
2018-2020,simplex_support,future_branching,bridge_emergence,edges,686,22,0.2,0.10699242654234925
2018-2020,persistence_only,future_branching,bridge_emergence,edges,686,22,0.0,0.11881314343407708
2018-2020,frozen_diffusion,future_branching,bridge_emergence,edges,686,22,0.0,0.0800099180252468
2018-2020,evolving_geometry,future_branching,bridge_emergence,edges,686,22,0.0,0.16739486663712141
2019-2021,author_degree,future_branching,bridge_emergence,edges,478,16,0.0,0.08086690249603178
2019-2021,author_productivity,future_branching,bridge_emergence,edges,478,16,0.0,0.08648389478385776
2019-2021,graph_bridge,future_branching,bridge_emergence,edges,478,16,0.2,0.061924157339614594
2019-2021,simplex_support,future_branching,bridge_emergence,edges,478,16,0.0,-0.03572982366656717
2019-2021,persistence_only,future_branching,bridge_emergence,edges,478,16,0.0,0.0
2019-2021,frozen_diffusion,future_branching,bridge_emergence,edges,478,16,0.0,0.029662180763922946
2019-2021,evolving_geometry,future_branching,bridge_emergence,edges,478,16,0.0,0.010661249396575286
2020-2022,author_degree,future_branching,bridge_emergence,edges,492,10,0.0,0.03292873522542326
2020-2022,author_productivity,future_branching,bridge_emergence,edges,492,10,0.0,0.006438879841191709
2020-2022,graph_bridge,future_branching,bridge_emergence,edges,492,10,0.0,-0.06855724475624207
2020-2022,simplex_support,future_branching,bridge_emergence,edges,492,10,0.0,-0.013040322276324057
2020-2022,persistence_only,future_branching,bridge_emergence,edges,492,10,0.0,0.0
2020-2022,frozen_diffusion,future_branching,bridge_emergence,edges,492,10,0.0,0.027023493423010195
2020-2022,evolving_geometry,future_branching,bridge_emergence,edges,492,10,0.0,0.03660833468202659
2021-2023,author_degree,future_branching,bridge_emergence,edges,509,2,0.0,0.05279978212876338
2021-2023,author_productivity,future_branching,bridge_emergence,edges,509,2,0.0,0.07891984496036582
2021-2023,graph_bridge,future_branching,bridge_emergence,edges,509,2,0.0,0.09383799002361291
2021-2023,simplex_support,future_branching,bridge_emergence,edges,509,2,0.0,-0.009759388471023622
2021-2023,persistence_only,future_branching,bridge_emergence,edges,509,2,0.0,0.0
2021-2023,frozen_diffusion,future_branching,bridge_emergence,edges,509,2,0.0,0.0954062740401515
2021-2023,evolving_geometry,future_branching,bridge_emergence,edges,509,2,0.0,0.08561388186364846
