window,model,target_mode,candidate_regime,score_location,candidate_count,positive_targets,top_k_precision,spearman_future_support
2018-2020,author_degree,future_support,all,edges,1899,1374,0.7,0.13165751430365252
2018-2020,author_productivity,future_support,all,edges,1899,1374,0.8,0.12828767825540086
2018-2020,graph_bridge,future_support,all,edges,1899,1374,0.3,0.013876473112584308
2018-2020,simplex_support,future_support,all,edges,1899,1374,1.0,0.32535685061028297
2018-2020,persistence_only,future_support,all,edges,1899,1374,1.0,0.9362553309968196
2018-2020,frozen_diffusion,future_support,all,edges,1899,1374,0.5,-0.02526575440764159
2018-2020,evolving_geometry,future_support,all,edges,1899,1374,1.0,0.7954477901067161
2019-2021,author_degree,future_support,all,edges,2151,1538,0.4,0.028155117764810222
2019-2021,author_productivity,future_support,all,edges,2151,1538,0.8,0.036015538413452654
2019-2021,graph_bridge,future_support,all,edges,2151,1538,0.6,0.1130101075431591
2019-2021,simplex_support,future_support,all,edges,2151,1538,1.0,0.2585267287071444
2019-2021,persistence_only,future_support,all,edges,2151,1538,1.0,0.4701152748776968
2019-2021,frozen_diffusion,future_support,all,edges,2151,1538,0.7,0.03267461766503764
2019-2021,evolving_geometry,future_support,all,edges,2151,1538,1.0,0.42238584964509457
2020-2022,author_degree,future_support,all,edges,2414,1757,1.0,0.029250777451988366
2020-2022,author_productivity,future_support,all,edges,2414,1757,1.0,0.028874831198665553
2020-2022,graph_bridge,future_support,all,edges,2414,1757,0.9,0.10925768983381157
2020-2022,simplex_support,future_support,all,edges,2414,1757,1.0,0.29842925905020623
2020-2022,persistence_only,future_support,all,edges,2414,1757,1.0,0.4694605657741698
2020-2022,frozen_diffusion,future_support,all,edges,2414,1757,0.5,0.008334246357675377
2020-2022,evolving_geometry,future_support,all,edges,2414,1757,1.0,0.4331123077742309
2021-2023,author_degree,future_support,all,edges,2671,1903,0.9,0.12184651877041101
2021-2023,author_productivity,future_support,all,edges,2671,1903,1.0,0.13240789098233277
2021-2023,graph_bridge,future_support,all,edges,2671,1903,0.7,0.05015416769047701
2021-2023,simplex_support,future_support,all,edges,2671,1903,1.0,0.2692399991607172
2021-2023,persistence_only,future_support,all,edges,2671,1903,1.0,0.4917197104976212
2021-2023,frozen_diffusion,future_support,all,edges,2671,1903,0.6,-0.0032639180440798693
2021-2023,evolving_geometry,future_support,all,edges,2671,1903,1.0,0.43660681494118825
