window,model,target_mode,candidate_regime,score_location,candidate_count,positive_targets,top_k_precision,spearman_future_support
2018-2020,dyad_degree_projection,future_branching,bridge_emergence,triangles,1890,124,0.2,0.15950148181277085
2018-2020,dyad_productivity_projection,future_branching,bridge_emergence,triangles,1890,124,0.2,0.183056114189043
2018-2020,triangle_support,future_branching,bridge_emergence,triangles,1890,124,0.2,0.021333325170509353
2018-2020,triangle_persistence,future_branching,bridge_emergence,triangles,1890,124,0.2,0.11070051927773862
2018-2020,frozen_diffusion,future_branching,bridge_emergence,triangles,1890,124,0.0,0.017976320260787448
2018-2020,evolving_geometry,future_branching,bridge_emergence,triangles,1890,124,0.0,0.0861298248024854
2018-2020,dyad_projection,future_branching,bridge_emergence,triangles,1890,124,0.2,0.16064542947729135
2018-2020,dyad_frozen_projection,future_branching,bridge_emergence,triangles,1890,124,0.0,0.08216329217837964
2018-2020,mixed_geometry,future_branching,bridge_emergence,triangles,1890,124,0.2,0.1534165679344124
2019-2021,dyad_degree_projection,future_branching,bridge_emergence,triangles,1439,90,0.0,0.15840788913482326
2019-2021,dyad_productivity_projection,future_branching,bridge_emergence,triangles,1439,90,0.8,0.18248016640027115
2019-2021,triangle_support,future_branching,bridge_emergence,triangles,1439,90,0.2,0.007539856308828403
2019-2021,triangle_persistence,future_branching,bridge_emergence,triangles,1439,90,0.0,0.0
2019-2021,frozen_diffusion,future_branching,bridge_emergence,triangles,1439,90,0.0,0.030318385107784843
2019-2021,evolving_geometry,future_branching,bridge_emergence,triangles,1439,90,0.0,0.03781655555607647
2019-2021,dyad_projection,future_branching,bridge_emergence,triangles,1439,90,0.2,0.2534978092642273
2019-2021,dyad_frozen_projection,future_branching,bridge_emergence,triangles,1439,90,0.2,0.04858665996164149
2019-2021,mixed_geometry,future_branching,bridge_emergence,triangles,1439,90,0.2,0.23107414070414506
2020-2022,dyad_degree_projection,future_branching,bridge_emergence,triangles,1586,81,0.2,0.09046409443542981
2020-2022,dyad_productivity_projection,future_branching,bridge_emergence,triangles,1586,81,0.2,0.12108253503306192
2020-2022,triangle_support,future_branching,bridge_emergence,triangles,1586,81,0.0,-0.005824753232385288
2020-2022,triangle_persistence,future_branching,bridge_emergence,triangles,1586,81,0.0,0.0
2020-2022,frozen_diffusion,future_branching,bridge_emergence,triangles,1586,81,0.0,-0.014077699655814999
2020-2022,evolving_geometry,future_branching,bridge_emergence,triangles,1586,81,0.0,-0.0018372535717831279
2020-2022,dyad_projection,future_branching,bridge_emergence,triangles,1586,81,0.2,0.13035547916671222
2020-2022,dyad_frozen_projection,future_branching,bridge_emergence,triangles,1586,81,0.2,0.05825474899505044
2020-2022,mixed_geometry,future_branching,bridge_emergence,triangles,1586,81,0.0,0.11727436842791225
2021-2023,dyad_degree_projection,future_branching,bridge_emergence,triangles,1774,48,0.2,0.166356565817946
2021-2023,dyad_productivity_projection,future_branching,bridge_emergence,triangles,1774,48,0.2,0.17304204674148096
2021-2023,triangle_support,future_branching,bridge_emergence,triangles,1774,48,0.0,-0.006862815343158077
2021-2023,triangle_persistence,future_branching,bridge_emergence,triangles,1774,48,0.0,0.0
2021-2023,frozen_diffusion,future_branching,bridge_emergence,triangles,1774,48,0.0,0.004028057434758046
2021-2023,evolving_geometry,future_branching,bridge_emergence,triangles,1774,48,0.0,-0.01457493999239829
2021-2023,dyad_projection,future_branching,bridge_emergence,triangles,1774,48,0.2,0.16752464070045922
2021-2023,dyad_frozen_projection,future_branching,bridge_emergence,triangles,1774,48,0.0,0.08331862725457267
2021-2023,mixed_geometry,future_branching,bridge_emergence,triangles,1774,48,0.2,0.15945326519795677
