window,simplex,target_mode,candidate_regime,score,support_count,persistence,future_support
2018-2020,Min Zhang 0006-Shaoping Ma-Yiqun Liu 0001,future_branching,bridge_emergence,1.205435034289124,6.0,0.5,0.0
2018-2020,Huan Liu 0001-Kai Shu-Suhang Wang,future_branching,bridge_emergence,0.6176371660334465,3.0,0.5,0.0
2018-2020,Eunyee Koh-Ryan A. Rossi-Sungchul Kim,future_branching,bridge_emergence,0.46791417358254656,2.0,0.5,0.0
2018-2020,Gong Cheng 0001-Tianshuo Zhou-Ziyang Li 0005,future_branching,bridge_emergence,0.4609885543435321,2.0,0.5,0.0
2018-2020,Evren K-Jason H. D. Cho-Kannan Achan,future_branching,bridge_emergence,0.438947471024316,1.0,0.5,0.0
2019-2021,Yin Zhang 0011-Yun He 0001-Ziwei Zhu 0001,future_branching,bridge_emergence,0.43765945334197515,1.0,0.5,0.0
2019-2021,Chuhan Wu-Junxin Liu-Xing Xie 0001,future_branching,bridge_emergence,0.4114980143995116,2.0,0.5,0.0
2019-2021,Chuhan Wu-Junxin Liu-Yongfeng Huang 0001,future_branching,bridge_emergence,0.4114980143995116,2.0,0.5,0.0
2019-2021,Chuhan Wu-Fangzhao Wu-Xing Xie 0001,future_branching,bridge_emergence,0.4114979978338328,2.0,0.5,0.0
2019-2021,Fangzhao Wu-Junxin Liu-Yongfeng Huang 0001,future_branching,bridge_emergence,0.41149799783383256,2.0,0.5,0.0
2020-2022,Evren K-Jason H. D. Cho-Kannan Achan,future_branching,bridge_emergence,0.7247202341751916,1.0,0.5,0.0
2020-2022,Alexandros Karatzoglou-Ioannis Arapakis-Xin Xin 0003,future_branching,bridge_emergence,0.48349255533820423,2.0,0.5,0.0
2020-2022,Da Xu-Jason H. D. Cho-Kannan Achan,future_branching,bridge_emergence,0.4249638688726991,1.0,0.5,0.0
2020-2022,Evren K-Jason H. D. Cho-Sushant Kumar,future_branching,bridge_emergence,0.4249078209053091,1.0,0.5,0.0
2020-2022,Jiawei Han 0001-Shweta Garg 0004-Xiusi Chen,future_branching,bridge_emergence,0.4247651018084053,1.0,0.5,0.0
2021-2023,Kai Zheng 0001-Liwei Deng 0001-Yan Zhao 0008,future_branching,bridge_emergence,0.48347209081415765,2.0,0.5,0.0
2021-2023,Feng Xia 0006-Shaoliang Zhang-Zhihong Yang,future_branching,bridge_emergence,0.467664468522041,1.0,0.5,0.0
2021-2023,Renhe Jiang-Ryosuke Shibasaki-Zipei Fan,future_branching,bridge_emergence,0.4620016339799925,2.0,0.5,0.0
2021-2023,Chuxu Zhang-Xiangliang Zhang 0001-Xin Gao 0001,future_branching,bridge_emergence,0.38744662472212854,1.0,0.5,0.0
2021-2023,Changsheng Ma-Chuxu Zhang-Xiangliang Zhang 0001,future_branching,bridge_emergence,0.38744662472212843,1.0,0.5,0.0
