window,event_type,model,candidate_count,positive_targets,top_k_precision,spearman_future_support
2018-2020,reinforcement,support_only,5679,4028,1.0,0.05708747137820432
2018-2020,reinforcement,persistence_only,5679,4028,0.875,0.6293398209300944
2018-2020,reinforcement,author_level_proxy,5679,4028,1.0,0.5633049523052119
2018-2020,reinforcement,evolving_geometry,5679,4028,1.0,0.2820143225480613
2018-2020,reinforcement,aggregation_birth_score,5679,4028,0.5,0.11578391071623781
2019-2021,reinforcement,support_only,6501,2625,0.125,-0.10887848200997803
2019-2021,reinforcement,persistence_only,6501,2625,0.0,-0.5066816067566082
2019-2021,reinforcement,author_level_proxy,6501,2625,0.375,0.03997976722006128
2019-2021,reinforcement,evolving_geometry,6501,2625,0.0,-0.13243974898182492
2019-2021,reinforcement,aggregation_birth_score,6501,2625,0.0,-0.162733598325661
2020-2022,reinforcement,support_only,7238,3096,0.125,-0.05258852539287336
2020-2022,reinforcement,persistence_only,7238,3096,0.0,-0.5210948852227538
2020-2022,reinforcement,author_level_proxy,7238,3096,0.875,0.08179901052638318
2020-2022,reinforcement,evolving_geometry,7238,3096,1.0,-0.077033392943166
2020-2022,reinforcement,aggregation_birth_score,7238,3096,0.875,-0.1265931181686073
2021-2023,reinforcement,support_only,8075,2577,0.0,-0.06875084256008468
2021-2023,reinforcement,persistence_only,8075,2577,0.0,-0.45839178420308213
2021-2023,reinforcement,author_level_proxy,8075,2577,0.125,-0.013201317218882926
2021-2023,reinforcement,evolving_geometry,8075,2577,0.875,-0.07949271429635733
2021-2023,reinforcement,aggregation_birth_score,8075,2577,0.375,-0.1050422200811622
