step;fixed_right_frac;coupled_right_frac;fixed_total;coupled_total;w_abc;w_cde;w_cef
0;0.0000;0.0000;1.0000e+00;1.0000e+00;1.2000;0.9000;1.4000
1;0.4520;0.4520;7.3900e-01;7.3900e-01;1.1501;0.8933;1.2417
2;0.4853;0.4869;4.5173e-01;4.5028e-01;1.1174;0.9028;1.1473
3;0.4922;0.4941;2.7187e-01;2.7080e-01;1.1004;0.9186;1.0838
4;0.4956;0.4972;1.6382e-01;1.6331e-01;1.0925;0.9364;1.0381
5;0.4977;0.4987;9.8961e-02;9.8756e-02;1.0888;0.9541;1.0034
6;0.4988;0.4994;5.9888e-02;5.9814e-02;1.0871;0.9704;0.9758
7;0.4994;0.4997;3.6281e-02;3.6256e-02;1.0861;0.9851;0.9533
8;0.4997;0.4999;2.1992e-02;2.1984e-02;1.0855;0.9979;0.9346
9;0.4999;0.5000;1.3335e-02;1.3332e-02;1.0851;1.0091;0.9189
10;0.4999;0.5000;8.0867e-03;8.0859e-03;1.0848;1.0186;0.9057
